=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.10 08:28:43 =~=~=~=~=~=~=~=~=~=~=~=
v-99;echo: v-99, 4
echo: v-99, 0
sp.debug 0 to -99
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.6245,-0.2624, 0.0000,-0.2624,    370871.3, 0.9840752,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.9886,-0.1989, 0.0000,-0.1989,    370871.1, 0.9840747,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.1353,-0.2135, 0.0000,-0.2135,    370870.8, 0.9840741,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.3310,-0.2331, 0.0000,-0.2331,    370870.6, 0.9840735,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.1354,-0.2135, 0.0000,-0.2135,    370870.4, 0.9840729,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.1354,-0.2135, 0.0000,-0.2135,    370870.2, 0.9840723,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.3799,-0.2380, 0.0000,-0.2380,    370869.9, 0.9840717,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.3310,-0.2331, 0.0000,-0.2331,    370869.7, 0.9840711,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.9886,-0.1989, 0.0000,-0.1989,    370869.5, 0.9840705,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.1843,-0.2184, 0.0000,-0.2184,    370869.3, 0.9840699,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-3.1625,-0.3162, 0.0000,-0.3162,    370869.0, 0.9840691,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.1354,-0.2135, 0.0000,-0.2135,    370868.8, 0.9840686,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.7930,-0.1793, 0.0000,-0.1793,    370868.6, 0.9840681,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.1843,-0.2184, 0.0000,-0.2184,    370868.4, 0.9840675,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.6952,-0.1695, 0.0000,-0.1695,    370868.2, 0.9840670,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.1353,-0.2135, 0.0000,-0.2135,    370868.0, 0.9840665,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.9886,-0.1989, 0.0000,-0.1989,    370867.8, 0.9840659,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.0864,-0.2086, 0.0000,-6.6134,    370867.8, 0.9840487,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.0864,-0.2086, 0.0000,-6.6135,    370867.8, 0.9840314,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.6462,-0.1646, 0.0000,-6.5696,    370867.9, 0.9840143,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.8908,-0.1891, 0.0000,-6.5942,    370867.9, 0.9839970,
