=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.25 16:13:48 =~=~=~=~=~=~=~=~=~=~=~=


saved (sp) diffs
 Modeling bitmap              1 ->       247,       [0x] (* Xm)
Reset to defaults? [Y/n]:n N.  moving on...

End setup()

Ib Amp sense ADC pin 13 started using TSC2010
Ib No Amp sense ADC pin 11 started using TSC2010
DS18 1-wire Tb started
Vb sense ADC pin started
Shunt dt(): sample_time_ 234522 sample_time_z_ 233522
Shunt dt(): sample_time_ 235522 sample_time_z_ 234522
Shunt dt(): sample_time_ 236522 sample_time_z_ 235522
Shunt dt(): sample_time_ 237522 sample_time_z_ 236522
Shunt dt(): sample_time_ 238522 sample_time_z_ 237522
Shunt dt(): sample_time_ 239522 sample_time_z_ 238522
Shunt dt(): sample_time_ 240522 sample_time_z_ 239522
Shunt dt(): sample_time_ 241522 sample_time_z_ 240522
Shunt dt(): sample_time_ 242522 sample_time_z_ 241522
Shunt dt(): sample_time_ 243522 sample_time_z_ 242522
Shunt dt(): sample_time_ 244522 sample_time_z_ 243522
Shunt dt(): sample_time_ 245522 sample_time_z_ 244522
Shunt dt(): sample_time_ 246522 sample_time_z_ 245522
Shunt dt(): sample_time_ 247522 sample_time_z_ 246522
Shunt dt(): sample_time_ 248522 sample_time_z_ 247522
Shunt dt(): sample_time_ 249522 sample_time_z_ 248522
Shunt dt(): sample_time_ 250522 sample_time_z_ 249522
Shunt dt(): sample_time_ 251522 sample_time_z_ 250522
Shunt dt(): sample_time_ 252522 sample_time_z_ 251522
Shunt dt(): sample_time_ 253522 sample_time_z_ 252522
Shunt dt(): sample_time_ 254522 sample_time_z_ 253522
Shunt dt(): sample_time_ 255522 sample_time_z_ 254522
Shunt dt(): sample_time_ 256522 sample_time_z_ 255522
Shunt dt(): sample_time_ 257522 sample_time_z_ 256522
Shunt dt(): sample_time_ 258522 sample_time_z_ 257522
Shunt dt(): sample_time_ 259522 sample_time_z_ 258522
Shunt dt(): sample_time_ 260522 sample_time_z_ 259522
Shunt dt(): sample_time_ 261522 sample_time_z_ 260522
Shunt dt(): sample_time_ 262522 sample_time_z_ 261522
Shunt dt(): sample_time_ 263522 sample_time_z_ 262522
Shunt dt(): sample_time_ 264522 sample_time_z_ 263522
Shunt dt(): sample_time_ 265522 sample_time_z_ 264522
Shunt dt(): sample_time_ 266522 sample_time_z_ 265522
Shunt dt(): sample_time_ 267522 sample_time_z_ 266522
Shunt dt(): sample_time_ 268522 sample_time_z_ 267522
Shunt dt(): sample_time_ 269522 sample_time_z_ 268522
Shunt dt(): sample_time_ 270522 sample_time_z_ 269522
Shunt dt(): sample_time_ 271522 sample_time_z_ 270522
Shunt dt(): sample_time_ 272522 sample_time_z_ 271522
Shunt dt(): sample_time_ 273522 sample_time_z_ 272522
Shunt dt(): sample_time_ 274522 sample_time_z_ 273522
Shunt dt(): sample_time_ 275522 sample_time_z_ 274522
Shunt dt(): sample_time_ 276522 sample_time_z_ 275522
Shunt dt(): sample_time_ 277522 sample_time_z_ 276522
Shunt dt(): sample_time_ 278522 sample_time_z_ 277522
Shunt dt(): sample_time_ 279522 sample_time_z_ 278522
Shunt dt(): sample_time_ 280522 sample_time_z_ 279522
Shunt dt(): sample_time_ 281522 sample_time_z_ 280522
Shunt dt(): sample_time_ 282522 sample_time_z_ 281522
Shunt dt(): sample_time_ 283522 sample_time_z_ 282522
Shunt dt(): sample_time_ 284522 sample_time_z_ 283522
Shunt dt(): sample_time_ 285522 sample_time_z_ 284522
Shunt dt(): sample_time_ 286522 sample_time_z_ 285522
Shunt dt(): sample_time_ 287522 sample_time_z_ 286522
Shunt dt(): sample_time_ 288522 sample_time_z_ 287522
Shunt dt(): sample_time_ 289522 sample_time_z_ 288522
Shunt dt(): sample_time_ 290522 sample_time_z_ 289522
Shunt dt(): sample_time_ 291522 sample_time_z_ 290522
Shunt dt(): sample_time_ 292522 sample_time_z_ 291522
Shunt dt(): sample_time_ 293522 sample_time_z_ 292522
Shunt dt(): sample_time_ 294522 sample_time_z_ 293522
Shunt dt(): sample_time_ 295522 sample_time_z_ 294522
Shunt dt(): sample_time_ 296522 sample_time_z_ 295522
Shunt dt(): sample_time_ 297522 sample_time_z_ 296522
Shunt dt(): sample_time_ 298522 sample_time_z_ 297522
Shunt dt(): sample_time_ 299522 sample_time_z_ 298522
Shunt dt(): sample_time_ 300522 sample_time_z_ 299522
Shunt dt(): sample_time_ 301522 sample_time_z_ 300522
Shunt dt(): sample_time_ 302522 sample_time_z_ 301522
Shunt dt(): sample_time_ 303522 sample_time_z_ 302522
Shunt dt(): sample_time_ 304522 sample_time_z_ 303522
Shunt dt(): sample_time_ 305522 sample_time_z_ 304522
Shunt dt(): sample_time_ 306522 sample_time_z_ 305522
Shunt dt(): sample_time_ 307522 sample_time_z_ 306522
Shunt dt(): sample_time_ 308522 sample_time_z_ 307522
