soc=  1.000, modeling = 7, delta_q=  0.000, soc_model=  1.0000,   delta_q_model=  0.000, soc_ekf=  1.0000, delta_q_ekf=  0.000,
soft reset...
ReadSensors from 100 to 100
100
modeling from 7 to 7
Modeling is 7
tweak_test is 0
mod_ib is 1
mod_vb is 1
mod_tb is 1
Small reset. Filters reinit
soft reset...
ShuntAmp.add from -500.000 to -500.000
ShuntNoAmp.add from   0.001 to   0.001
unit_sel, 52587490.332, 0, 0,    0, 0,      -0.000086, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.13088, 1, 10.13088,    0.00,25.00, 1, 25.00, 
unit,               hm,                  cTime,       dt,       sat,sel,mod,  Tb,  Vb,  Ib,        Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_m,soc_ekf,soc,,
unit_sel,c_time,res,user_sel,   m_bare,n_bare,  cc_dif,cc_flt,  ibmh,ibnh,ibmm,ibnm,ibm,                     ib_dif,ib_dif_flt,ib_dif_fa,  ib_sel,Ib_h,Ib_m,mib,Ib,            Vb_h,Vb_m,mvb,Vb,                  Tb_h,Tb,mtb,Tb_f,
pro_20220723, 2022-07-30T08:08:06,  52587492.732, 0.100,   1,  0,  7,  25.00,10.79259,-500.00000,    13.80000,-6.15000,16.94615,14.14078,   2.805369, 1.00000,0.99728,0.99653,
unit_sel, 52587492.832, 0, 0,    0, 0,       0.000752, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.79709, 1, 10.79709,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:06,  52587492.832, 0.100,   1,  0,  7,  25.00,10.79709,-500.00000,    13.80000,-6.15000,16.95079,14.12961,   2.821184, 1.00000,0.99720,0.99639,
unit_sel, 52587492.932, 0, 0,    0, 0,       0.000813, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.80159, 1, 10.80159,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:06,  52587492.932, 0.100,   1,  0,  7,  25.00,10.80159,-500.00000,    13.80000,-6.15000,16.95543,14.11868,   2.836751, 1.00000,0.99713,0.99625,
unit_sel, 52587493.032, 0, 0,    0, 0,       0.000876, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.80608, 1, 10.80608,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:06,  52587493.032, 0.100,   1,  0,  7,  25.00,10.80608,-500.00000,    13.80000,-6.15000,16.96006,14.10799,   2.852071, 1.00000,0.99705,0.99611,
unit_sel, 52587493.132, 0, 0,    0, 0,       0.000940, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.81057, 1, 10.81057,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:06,  52587493.132, 0.100,   1,  0,  7,  25.00,10.81057,-500.00000,    13.80000,-6.15000,16.96468,14.09753,   2.867153, 1.00000,0.99698,0.99597,
unit_sel, 52587493.232, 0, 0,    0, 0,       0.001006, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.81505, 1, 10.81505,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587493.232, 0.100,   1,  0,  7,  25.00,10.81505,-500.00000,    13.80000,-6.15000,16.96930,14.08732,   2.881987, 1.00000,0.99691,0.99583,
unit_sel, 52587493.332, 0, 0,    0, 0,       0.001073, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.81953, 1, 10.81953,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587493.332, 0.100,   1,  0,  7,  25.00,10.81953,-500.00000,    13.80000,-6.15000,16.97392,14.07732,   2.896597, 1.00000,0.99684,0.99569,
unit_sel, 52587493.433, 0, 0,    0, 0,       0.001142, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.82400, 1, 10.82400,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587493.433, 0.100,   1,  0,  7,  25.00,10.82400,-500.00000,    13.80000,-6.15000,16.97853,14.06756,   2.910971, 1.00000,0.99677,0.99556,
unit_sel, 52587493.532, 0, 0,    0, 0,       0.001213, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.82846, 1, 10.82846,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587493.532, 0.100,   1,  0,  7,  25.00,10.82846,-500.00000,    13.80000,-6.15000,16.98313,14.05801,   2.925121, 1.00000,0.99670,0.99542,
unit_sel, 52587493.632, 0, 0,    0, 0,       0.001285, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.83292, 1, 10.83292,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587493.632, 0.100,   1,  0,  7,  25.00,10.83292,-500.00000,    13.80000,-6.15000,16.98773,14.04867,   2.939058, 1.00000,0.99664,0.99528,
unit_sel, 52587493.732, 0, 0,    0, 0,       0.001359, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.83738, 1, 10.83738,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587493.732, 0.100,   1,  0,  7,  25.00,10.83738,-500.00000,    13.80000,-6.15000,16.99232,14.03955,   2.952772, 1.00000,0.99657,0.99514,
unit_sel, 52587493.832, 0, 0,    0, 0,       0.001434, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.84183, 1, 10.84183,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587493.832, 0.100,   1,  0,  7,  25.00,10.84183,-500.00000,    13.80000,-6.15000,16.99691,14.03063,   2.966280, 1.00000,0.99651,0.99500,
unit_sel, 52587493.933, 0, 0,    0, 0,       0.001511, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.84627, 1, 10.84627,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587493.933, 0.100,   1,  0,  7,  25.00,10.84627,-500.00000,    13.80000,-6.15000,17.00149,14.02192,   2.979573, 1.00000,0.99645,0.99486,
unit_sel, 52587494.032, 0, 0,    0, 0,       0.001589, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.85071, 1, 10.85071,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587494.032, 0.100,   1,  0,  7,  25.00,10.85071,-500.00000,    13.80000,-6.15000,17.00607,14.01340,   2.992670, 1.00000,0.99639,0.99472,
unit_sel, 52587494.132, 0, 0,    0, 0,       0.001668, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.85514, 1, 10.85514,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:07,  52587494.132, 0.100,   1,  0,  7,  25.00,10.85514,-500.00000,    13.80000,-6.15000,17.01064,14.00508,   3.005562, 1.00000,0.99633,0.99458,
unit_sel, 52587494.232, 0, 0,    0, 0,       0.001749, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.85957, 1, 10.85957,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:08,  52587494.232, 0.100,   1,  0,  7,  25.00,10.85957,-500.00000,    13.80000,-6.15000,17.01521,13.99695,   3.018256, 1.00000,0.99628,0.99444,
unit_sel, 52587494.332, 0, 0,    0, 0,       0.001831, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.45204,10.86399, 1, 10.86399,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:08,  52587494.332, 0.100,   1,  0,  7,  25.00,10.86399,-500.00000,    13.80000,-6.15000,17.01977,13.98901,   3.030761, 1.00000,0.99622,0.99431,
unit_sel, 52587494.433, 0, 0,    0, 0,       0.001915, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.43912,10.86841, 1, 10.86841,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:08,  52587494.433, 0.100,   1,  0,  7,  25.00,10.86841,-500.00000,    13.80000,-6.15000,17.02432,13.98126,   3.043067, 1.00000,0.99617,0.99417,
unit_sel, 52587494.532, 0, 0,    0, 0,       0.002000, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.87282, 1, 10.87282,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:08,  52587494.532, 0.100,   1,  0,  7,  25.00,10.87282,-500.00000,    13.80000,-6.15000,17.02887,13.97368,   3.055196, 1.00000,0.99611,0.99403,
unit_sel, 52587494.632, 0, 0,    0, 0,       0.002086, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.87722, 1, 10.87722,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:08,  52587494.632, 0.100,   1,  0,  7,  25.00,10.87722,-500.00000,    13.80000,-6.15000,17.03342,13.96629,   3.067133, 1.00000,0.99606,0.99389,
unit_sel, 52587494.732, 0, 0,    0, 0,       0.002173, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.88163, 1, 10.88163,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:08,  52587494.732, 0.100,   1,  0,  7,  25.00,10.88163,-500.00000,    13.80000,-6.15000,17.03796,13.95907,   3.078893, 1.00000,0.99601,0.99375,
unit_sel, 52587494.832, 0, 0,    0, 0,       0.002262, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.88602, 1, 10.88602,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:08,  52587494.832, 0.100,   1,  0,  7,  25.00,10.88602,-500.00000,    13.80000,-6.15000,17.04249,13.95202,   3.090469, 1.00000,0.99596,0.99361,
unit_sel, 52587494.932, 0, 0,    0, 0,       0.002351, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.89041, 1, 10.89041,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:08,  52587494.932, 0.100,   1,  0,  7,  25.00,10.89041,-500.00000,    13.80000,-6.15000,17.04702,13.94515,   3.101874, 1.00000,0.99591,0.99347,
pro_20220723, 2022-07-30T08:08:08,  52587495.032, 0.100,   1,  0,  7,  25.00,10.89041,-500.00000,    13.80000,-6.15000,17.04702,13.94515,   3.101874, 1.00000,0.99591,0.99347,
unit_sel, 52587495.101, 0, 0,    0, 0,       0.002442, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.89480, 1, 10.89480,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:08,  52587495.132, 0.168,   1,  0,  7,  25.00,10.89480,-500.00000,    13.80000,-6.15000,17.05164,13.92512,   3.126520, 1.00000,0.99577,0.99324,
