unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,,,,,,,,,,,,,,,,
unit_m,  c_time,       chm_s, qcrs_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,,,,,,,,,,,,,,,,,,,,,
unit_s,c_time,res,user_sel,   cc_dif,  ibmh,ibnh,ibmm,ibnm,ibm,   ib_diff, ib_diff_f,    voc_soc,e_w,e_w_f,  ib_sel_stat,ib_h,ib_s,mib,ib, vb_sel,vb_h,vb_s,mvb,vb,  Tb_h,Tb_s,mtb,Tb_f,   fltw, falw, ib_rate, ib_quiet, tb_sel, ccd_thr, ewh_thr, ewl_thr, ibd_thr, ibq_thr, preserving
unit_e,c_time,dt,Fx_, Bu_, Q_, R_, P_, S_, K_, u_, x_, y_, z_, x_prior_, P_prior_, x_post_, P_post_, hx_, H_,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:38,74770364.419,0.1,0,390240,0,1,0,0,11.4,13.255,-0.032,-0.032,0.079,13.11039,13.74573,0.00048,13.25423,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770364.619,0,1,0.2671807,-0.17892,-0.09802,-0.17892,-0.17892,-0.17892,-0.0809,0.04752,13.11039,-0.14407,-0.14116,1,-0.17892,-0.17892,0,-0.17892,1,13.27239,13.11092,0,13.27239,11.43,11.43,0,11.43,0,16,-0.221,-0.022,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770364.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00025,13.11092,-0.081,-0.179,-0.179,0.062,0,-101775,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770364.619,2,0.9999999,0.0000056,0.00000225,0.25,0.00227236,0.2502465,0.00299232,-0.08108474,0.9657195,0.0395689,13.26303,0.9656011,0.002274601,0.9657195,0.00227236,13.22346,0.3292084,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:38,74770364.619,0.1,0,390240,0,1,0,0,11.4,13.272,-0.179,-0.179,0.078,13.11039,13.74573,-0.0002,13.27207,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770364.819,0,1,0.2671806,0.16347,-0.04911,0.16347,0.16347,0.16347,0.21258,0.05874,13.11039,-0.10324,-0.14072,1,0.16347,0.16347,0,0.16347,1,13.24238,13.11318,0,13.24238,11.43,11.43,0,11.43,0,16,0.457,-0.024,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770364.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.0025,13.11318,0.408,0.163,0.163,0.062,0,-101774.9,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770364.819,2,0.9999999,0.0000056,0.00000225,0.25,0.00227236,0.2502465,0.00299232,-0.08108474,0.9657195,0.0395689,13.26303,0.9656011,0.002274601,0.9657195,0.00227236,13.22346,0.3292084,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:38,74770364.819,0.1,0,390240,0,1,0,0,11.4,13.242,0.163,0.163,0.078,13.11039,13.74573,0.00138,13.24047,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770365.019,0,1,0.2671806,0.21238,-0.09802,0.21238,0.21238,0.21238,0.3104,0.06291,13.11039,-0.14836,-0.14065,1,0.21238,0.21238,0,0.21238,1,13.27239,13.11093,0,13.27239,11.43,11.43,0,11.43,0,16,-0.076,-0.022,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770365.019,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00025,13.11093,-0.081,0.212,0.212,0.062,0,-101774.9,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770365.019,2,0.9999999,0.0000056,0.00000225,0.25,0.00227236,0.2502465,0.00299232,-0.08108474,0.9657195,0.0395689,13.26303,0.9656011,0.002274601,0.9657195,0.00227236,13.22346,0.3292084,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.019,0.1,0,390240,0,1,0,0,11.4,13.272,0.212,0.212,0.078,13.11039,13.74573,0.0016,13.27025,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770365.219,0,1,0.2671804,0.3102,-0.09802,0.3102,0.3102,0.3102,0.40823,0.07455,13.11039,-0.12173,-0.14065,1,0.3102,0.3102,0,0.3102,1,13.23809,13.11184,0,13.23809,11.43,11.43,0,11.43,0,16,0.113,-0.021,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770365.219,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00115,13.11184,0.115,0.31,0.31,0.063,0,-101774.9,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770365.219,2,0.9999999,0.0000056,0.00000225,0.25,0.00227236,0.2502465,0.00299232,-0.08108474,0.9657195,0.0395689,13.26303,0.9656011,0.002274601,0.9657195,0.00227236,13.22346,0.3292084,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.219,0.1,0,390240,0,1,0,0,11.4,13.238,0.31,0.31,0.079,13.11039,13.74573,0.00205,13.2355,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770365.419,0,1,0.2671803,0.06565,0.14654,0.06565,0.06565,0.06565,-0.08089,0.07985,13.11039,-0.11156,-0.13955,1,0.06565,0.06565,0,0.06565,1,13.28096,13.11343,0,13.28096,11.43,11.43,0,11.43,0,16,0.424,-0.005,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770365.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00273,13.11343,0.457,0.066,0.066,0.066,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770365.419,2,0.9999999,0.0000056,0.00000225,0.25,0.00227236,0.2502465,0.00299232,-0.08108474,0.9657195,0.0395689,13.26303,0.9656011,0.002274601,0.9657195,0.00227236,13.22346,0.3292084,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.419,0.1,0,390240,0,1,0,0,11.4,13.281,0.066,0.066,0.081,13.11039,13.74573,0.00093,13.27948,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770365.619,0,1,0.2671802,-0.13,-0.09802,-0.13,-0.13,-0.13,-0.03198,0.07831,13.11039,-0.15171,-0.14056,1,-0.13,-0.13,0,-0.13,1,13.25095,13.11185,0,13.25095,11.43,11.43,0,11.43,0,16,-0.337,0.009,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770365.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00116,13.11185,0.115,-0.13,-0.13,0.066,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770365.619,2,0.9999999,0.0000056,0.00000225,0.25,0.00227236,0.2502465,0.00299232,-0.08108474,0.9657195,0.0395689,13.26303,0.9656011,0.002274601,0.9657195,0.00227236,13.22346,0.3292084,,,,,,,,,,,,,,,,,,,,
