t,"  vb, real","vb, im",  ib,b2:c4098
797.79999999702,12.775,0,-17.382,
798,12.779,0,-17.321,
798.20000000298,12.637,0,-16.955,
798.400000005961,12.753,0,-17.565,
798.600000008941,12.77,0,-17.016,
798.79999999702,12.753,0,-17.016,
799,12.745,0,-17.016,
799.20000000298,12.671,0,-17.443,
799.400000005961,12.736,0,-17.443,
799.600000008941,12.749,0,-17.382,
799.79999999702,12.745,0,-17.016,
800,12.715,0,-17.199,
800.20000000298,12.766,0,-17.199,
800.400000005961,12.71,0,-17.504,
800.600000008941,12.822,0,-17.382,
800.79999999702,12.723,0,-17.077,
801,12.697,0,-17.138,
801.20000000298,12.736,0,-17.077,
801.400000005961,12.758,0,-16.833,
801.600000008941,12.762,0,-17.138,
801.79999999702,12.758,0,-17.016,
802,12.689,0,-17.26,
802.20000000298,12.637,0,-17.138,
802.400000005961,12.77,0,-16.955,
802.600000008941,12.693,0,-16.833,
802.79999999702,12.745,0,-16.955,
803,12.801,0,-17.199,
803.20000000298,12.775,0,-16.772,
803.400000005961,12.779,0,-17.077,
803.600000008941,12.775,0,-17.077,
803.79999999702,12.663,0,-17.504,
804,12.762,0,-17.138,
804.20000000298,12.796,0,-17.199,
804.400000005961,12.736,0,-17.626,
804.600000008941,12.702,0,-17.565,
804.79999999702,12.663,0,-17.504,
805,12.758,0,-16.894,
805.20000000298,12.723,0,-17.382,
805.400000005961,12.732,0,-17.26,
805.600000008941,12.727,0,-17.808,
805.79999999702,12.706,0,-17.138,
806,12.745,0,-17.199,
806.20000000298,12.783,0,-17.077,
806.400000005961,12.766,0,-17.382,
806.600000008941,12.727,0,-17.443,
806.79999999702,12.74,0,-17.443,
807,12.71,0,-17.199,
807.20000000298,12.77,0,-17.077,
807.400000005961,12.706,0,-17.382,
807.600000008941,12.74,0,-16.894,
807.79999999702,12.749,0,-16.833,
808,12.74,0,-17.565,
808.20000000298,12.719,0,-17.382,
808.400000005961,12.745,0,-17.199,
808.600000008941,12.753,0,-17.199,
808.79999999702,12.745,0,-17.382,
809,12.74,0,-16.833,
809.20000000298,12.74,0,-17.016,
809.400000005961,12.779,0,-17.321,
809.600000008941,12.727,0,-16.955,
809.79999999702,12.702,0,-17.565,
810,12.779,0,-17.504,
810.20000000298,12.758,0,-17.443,
810.400000005961,12.753,0,-17.626,
810.600000008941,12.758,0,-17.016,
810.79999999702,12.745,0,-16.955,
811,12.723,0,-17.321,
811.20000000298,12.723,0,-17.321,
811.400000005961,12.654,0,-17.199,
811.600000008941,12.71,0,-17.382,
811.79999999702,12.706,0,-17.382,
812,12.659,0,-17.077,
812.20000000298,12.719,0,-16.833,
812.400000005961,12.706,0,-17.321,
812.600000008941,12.702,0,-17.077,
812.79999999702,12.732,0,-17.199,
813,12.732,0,-17.382,
813.20000000298,12.758,0,-17.321,
813.400000005961,12.805,0,-17.382,
813.600000008941,12.77,0,-17.626,
813.79999999702,12.727,0,-17.016,
814,12.723,0,-17.077,
814.20000000298,12.758,0,-17.199,
814.400000005961,12.693,0,-17.808,
814.600000008941,12.74,0,-17.382,
814.79999999702,12.71,0,-17.138,
815,12.702,0,-17.382,
815.20000000298,12.715,0,-17.382,
815.400000005961,12.702,0,-17.138,
815.600000008941,12.753,0,-17.016,
815.79999999702,12.736,0,-17.565,
816,12.749,0,-16.955,
816.20000000298,12.766,0,-17.382,
816.400000005961,12.779,0,-16.955,
816.600000008941,12.805,0,-17.199,
816.79999999702,12.762,0,-17.016,
817,12.762,0,-17.321,
817.20000000298,12.749,0,-17.382,
817.400000005961,12.702,0,-17.077,
817.600000008941,12.727,0,-16.955,
817.79999999702,12.736,0,-17.26,
818,12.727,0,-17.138,
818.20000000298,12.663,0,-17.077,
818.400000005961,12.762,0,-17.016,
818.600000008941,12.715,0,-17.138,
818.79999999702,12.736,0,-17.077,
819,12.758,0,-17.138,
819.20000000298,12.702,0,-17.199,
819.400000005961,12.736,0,-17.199,
819.600000008941,12.779,0,-16.955,
819.79999999702,12.736,0,-17.626,
820,12.684,0,-16.955,
820.20000000298,12.732,0,-17.26,
820.400000005961,12.745,0,-17.077,
820.600000008941,12.71,0,-17.382,
820.79999999702,12.732,0,-17.504,
821,12.719,0,-17.443,
821.20000000298,12.736,0,-17.077,
821.400000005961,12.736,0,-17.138,
821.600000008941,12.779,0,-17.077,
821.79999999702,12.749,0,-17.93,
822,12.77,0,-17.382,
822.20000000298,12.702,0,-17.077,
822.400000005961,12.753,0,-17.321,
822.600000008941,12.775,0,-17.016,
822.79999999702,12.775,0,-17.443,
823,12.783,0,-16.894,
823.20000000298,12.796,0,-17.199,
823.400000005961,12.745,0,-17.016,
823.600000008941,12.71,0,-17.199,
823.79999999702,12.71,0,-16.772,
824,12.71,0,-17.504,
824.20000000298,12.74,0,-17.26,
824.400000005961,12.745,0,-17.504,
824.600000008941,12.727,0,-17.321,
824.79999999702,12.745,0,-17.077,
825,12.706,0,-17.443,
825.20000000298,12.805,0,-16.833,
825.400000005961,12.758,0,-17.686,
825.600000008941,12.693,0,-17.626,
825.79999999702,12.749,0,-17.138,
826,12.749,0,-17.686,
826.20000000298,12.745,0,-17.138,
826.400000005961,12.727,0,-17.016,
826.600000008941,12.749,0,-17.565,
826.79999999702,12.736,0,-16.955,
827,12.607,0,-17.077,
827.20000000298,12.779,0,-17.504,
827.400000005961,12.727,0,-17.382,
827.600000008941,12.71,0,-17.321,
827.79999999702,12.779,0,-17.077,
828,12.758,0,-16.955,
828.20000000298,12.745,0,-17.382,
828.400000005961,12.753,0,-17.077,
828.600000008941,12.753,0,-17.138,
828.79999999702,12.788,0,-17.138,
829,12.758,0,-17.26,
829.20000000298,12.732,0,-17.321,
829.400000005961,12.745,0,-17.626,
829.600000008941,12.693,0,-17.382,
829.79999999702,12.758,0,-17.077,
830,12.749,0,-17.321,
830.20000000298,12.654,0,-17.382,
830.400000005961,12.723,0,-17.26,
830.600000008941,12.775,0,-17.016,
830.79999999702,12.71,0,-17.138,
831,12.762,0,-16.894,
831.20000000298,12.766,0,-17.382,
831.400000005961,12.732,0,-17.199,
831.600000008941,12.74,0,-17.382,
831.79999999702,12.762,0,-17.077,
832,12.74,0,-17.504,
832.20000000298,12.753,0,-17.504,
832.400000005961,12.637,0,-16.894,
832.600000008941,12.762,0,-17.443,
832.79999999702,12.723,0,-17.443,
833,12.671,0,-17.382,
833.20000000298,12.71,0,-17.199,
833.400000005961,12.693,0,-17.26,
833.600000008941,12.706,0,-17.26,
833.79999999702,12.715,0,-17.26,
834,12.732,0,-17.138,
834.20000000298,12.715,0,-17.382,
834.400000005961,12.758,0,-17.199,
834.600000008941,12.753,0,-17.26,
834.79999999702,12.74,0,-17.26,
835,12.723,0,-17.321,
835.20000000298,12.762,0,-17.443,
835.400000005961,12.758,0,-17.077,
835.600000008941,12.719,0,-17.138,
835.79999999702,12.715,0,-16.955,
836,12.758,0,-17.504,
836.20000000298,12.719,0,-17.443,
836.400000005961,12.723,0,-17.138,
836.600000008941,12.727,0,-17.077,
836.79999999702,12.762,0,-17.686,
837,12.753,0,-17.321,
837.20000000298,12.762,0,-17.382,
837.400000005961,12.71,0,-17.321,
837.600000008941,12.723,0,-17.138,
837.79999999702,12.766,0,-17.199,
838,12.758,0,-17.382,
838.20000000298,12.796,0,-17.382,
838.400000005961,12.758,0,-17.504,
838.600000008941,12.758,0,-17.686,
838.79999999702,12.779,0,-17.138,
839,12.77,0,-17.016,
839.20000000298,12.74,0,-17.382,
839.400000005961,12.727,0,-17.016,
839.600000008941,12.697,0,-16.894,
839.79999999702,12.697,0,-17.626,
840,12.745,0,-17.016,
840.20000000298,12.745,0,-17.199,
840.400000005961,12.719,0,-17.199,
840.600000008941,12.745,0,-17.626,
840.79999999702,12.788,0,-17.565,
841,12.736,0,-17.321,
841.20000000298,12.762,0,-17.26,
841.400000005961,12.74,0,-17.382,
841.600000008941,12.745,0,-17.321,
841.79999999702,12.762,0,-17.138,
